0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:27:59 -0500] "GET /krakeDev/limon/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:28:00 -0500] "GET /krakeDev/limon/images/fevicon.png HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:37:13 -0500] "GET /krakeDev/limon/ HTTP/1.1" 200 33145
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:37:13 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:29 -0500] "GET /krakeDev/limon/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:29 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:32 -0500] "GET /krakeDev/limon/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:32 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:35 -0500] "GET /krakeDev/limon/index.html HTTP/1.1" 200 33145
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:35 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:38 -0500] "GET /krakeDev/limon/conocenos.html HTTP/1.1" 200 9784
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:38 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:41 -0500] "GET /krakeDev/limon/sucursales.html HTTP/1.1" 200 9785
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:44:41 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:32 -0500] "GET /krakeDev/limon/sucursales.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:32 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:36 -0500] "GET /krakeDev/limon/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:36 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:39 -0500] "GET /krakeDev/limon/conocenos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:39 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:45 -0500] "GET /krakeDev/limon/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2025:08:45:45 -0500] "GET /krakeDev/limon/css/swiper.min.css HTTP/1.1" 404 733
